Company,Product,CPU_Type,RAM (GB),Memory,OpSys,Weight (kg),Price (USD)
Lenovo,Thinkpad 13,Core i7 7500U,8,256GB SSD,Windows,1.4,1111.0
Lenovo,IdeaPad 320-15ISK,Core i3 6006U,4,128GB SSD,No OS,2.2,405.90000000000003
Toshiba,Satellite Pro,Core i5 7200U,8,128GB SSD,Windows,2.0,872.3000000000001
Dell,Inspiron 3567,Core i5 7200U,4,256GB SSD,Windows,2.3,702.9000000000001
HP,ProBook 440,Core i7 7500U,8,256GB SSD,Windows,1.64,1303.9730000000002
Asus,G752VY-GC162T,Core i7 6700HQ,16,128GB SSD + 1TB HDD,Windows,4.3,2528.9
Dell,Inspiron 3567,Core i5 7200U,4,500GB HDD,Windows,2.3,643.5
Lenovo,IdeaPad 320-15AST,A6-Series 9220,4,500GB HDD,No OS,2.2,339.90000000000003
Dell,Inspiron 5379,Core i5 8250U,8,256GB SSD,Windows,1.62,900.9000000000001
HP,ProBook 440,Core i5 8250U,8,256GB SSD,Windows,1.63,946.0000000000001
HP,15-BS028nv,Core i3 6006U,4,1TB HDD,Windows,2.1,515.9000000000001
HP,15-bw002nv,A6-Series A6-9220,4,256GB SSD,Windows,1.91,526.779
Lenovo,Yoga Book,Atom x5-Z8550,4,64GB Flash Storage,Android,0.69,350.90000000000003
Dell,Inspiron 7579,Core i5 7200U,8,256GB SSD,Windows,2.191,1098.9
Dell,XPS 13,Core i5 8250U,8,256GB SSD,Windows,1.21,1791.9
Asus,VivoBook S15,Core i7 7500U,8,256GB SSD,Windows,1.7,1154.89
Lenovo,ThinkPad T470s,Core i7 7500U,24,512GB SSD,Windows,1.32,2620.2000000000003
Asus,X541NA-GO414T,Celeron Dual Core N3350,8,1TB HDD,Windows,2.0,438.90000000000003
Dell,Inspiron 5567,Core i7 7500U,12,1TB HDD,Windows,2.3,784.3770000000001
Microsoft,Surface Laptop,Core i7 7660U,8,256GB SSD,Windows,1.25,1978.9
Dell,Inspiron 3567,Core i3 6006U,4,1TB HDD,Windows,2.3,460.504
Lenovo,IdeaPad 320-17ISK,Core i3 6006U,4,1TB HDD,Windows,2.8,537.9000000000001
Toshiba,Portege Z30-C-16P,Core i7 6500U,16,512GB SSD,Windows,1.2,1921.7
Lenovo,Thinkpad Yoga,Core i7 7500U,16,1TB SSD,Windows,1.42,3106.4
HP,Elitebook Folio,Core M 6Y75,8,240GB SSD,Windows,1.09,3410.0000000000005
Lenovo,IdeaPad 320-15AST,A6-Series 9220,8,1TB HDD,Windows,2.8,570.9000000000001
Toshiba,Satellite Pro,Core i7 6500U,8,500GB HDD,Windows,2.2,893.2
Dell,Latitude 7480,Core i5 7300U,8,256GB SSD,Windows,1.36,1569.7
HP,EliteBook 840,Core i5 6200U,4,500GB HDD,Windows,1.54,1134.0890000000002
HP,Zbook 15,Core i7 7700HQ,8,256GB SSD,Windows,2.6,1912.0970000000002
Toshiba,Portege X30-D-10V,Core i5 7200U,8,256GB SSD,Windows,1.05,1622.5000000000002
MSI,GE72VR Apache,Core i7 7700HQ,16,256GB SSD + 1TB HDD,Windows,2.7,1757.8000000000002
HP,ProBook 470,Core i7 7500U,8,256GB SSD,Windows,2.63,1320.0
HP,Stream 14-AX001nv,Celeron Dual Core N3060,2,32GB Flash Storage,Windows,1.44,306.90000000000003
Lenovo,IdeaPad 320-15IKB,Core i7 7500U,4,1TB HDD,Windows,2.2,878.9000000000001
Toshiba,Tecra A40-C-1KF,Core i5 6200U,4,500GB HDD,Windows,1.75,1006.5000000000001
Toshiba,Portege Z30-C-1CV,Core i5 6200U,4,128GB SSD,Windows,1.2,1314.5
Dell,Latitude 3480,Core i3 6006U,4,500GB HDD,Windows,1.76,643.5
Asus,Rog Strix,Ryzen 1700,16,256GB SSD + 1TB HDD,Windows,3.25,2418.9
Asus,X505BP-BR019T,A9-Series 9420,4,1TB HDD,Windows,1.68,515.9000000000001
HP,250 G6,Core i3 6006U,4,500GB HDD,No OS,1.86,379.48900000000003
Lenovo,IdeaPad 320-15IKB,Core i7 7500U,8,1TB HDD,No OS,2.2,724.9110000000001
Dell,XPS 13,Core i7 8550U,16,512GB SSD,Windows,1.2,2055.9
Acer,Aspire E5-576G,Core i3 6006U,4,1TB HDD,Windows,2.23,598.4000000000001
HP,ProBook 650,Core i7 7820HQ,8,256GB SSD,Windows,2.31,1569.7
Dell,Latitude 7480,Core i7 7600U,8,256GB SSD,Windows,1.36,1952.5000000000002
HP,EliteBook x360,Core i5 7200U,4,256GB SSD,Windows,1.28,1978.9
Lenovo,ThinkPad X1,Core i7 6600U,16,512GB SSD,Windows,1.36,2748.9
Dell,XPS 13,Core i7 7560U,8,256GB SSD,Windows,1.23,1516.9
Lenovo,Legion Y520-15IKBN,Core i5 7300HQ,8,256GB SSD,No OS,2.4,856.9000000000001
Lenovo,Thinkpad T470,Core i5 7200U,8,180GB SSD,Windows,1.7,1500.4
MSI,GP62M 7RDX,Core i7 7700HQ,8,128GB SSD + 1TB HDD,Windows,2.4,1257.0800000000002
HP,15-cd005nv,A9-Series A9-9420,6,256GB SSD,Windows,1.95,713.9000000000001
Acer,Aspire ES1-572,Core i3 6006U,4,500GB HDD,Linux,2.4,397.98
Asus,VivoBook Pro,Core i7 7700HQ,8,128GB SSD + 1TB HDD,Windows,1.99,1485.0000000000002
Asus,X751NV-TY001T,Pentium Quad Core N4200,4,1TB HDD,Windows,2.8,512.6
Dell,Precision 3520,Xeon E3-1505M V6,8,64GB Flash Storage + 1TB HDD,Windows,2.23,2192.3
Google,Pixelbook,Core i5 7Y57,8,256GB SSD,Chrome OS,1.1,1714.9
Acer,Extensa EX2540-58KR,Core i5 7200U,4,500GB HDD,Windows,2.4,614.9000000000001
Asus,ZenBook UX305CA-UBM1,Core M 6Y30,8,512GB SSD,Windows,1.2,801.9000000000001
HP,Elitebook 850,Core i5 7200U,8,256GB SSD,Windows,1.84,1258.4
Lenovo,ThinkPad P40,Core i7 6600U,8,512GB SSD,Windows,1.8,2255.418
Asus,ZenBook Flip,Core i5 8250U,8,256GB SSD,Windows,1.1,1446.5000000000002
Lenovo,V330-15IKB,Core i5 8250U,8,256GB SSD,Windows,2.05,812.9000000000001
HP,250 G6,Core i3 6006U,4,1TB HDD,Windows,1.86,515.9000000000001
Asus,FX502VM-AS73,Core i7 7700HQ,16,128GB SSD + 1TB HDD,Windows,2.2,1923.9
Dell,Inspiron 5578,Core i5 7200U,8,256GB SSD,Windows,2.3,1203.4
Samsung,Chromebook 3,Celeron Dual Core N3060,4,16GB Flash Storage,Chrome OS,1.15,295.90000000000003
Asus,Zenbook UX330UA-AH5Q,Core i5 7200U,8,256GB SSD,Windows,1.2,1241.9
HP,ProBook 470,Core i5 8250U,8,256GB SSD,Windows,2.5,1020.8000000000001
Lenovo,IdeaPad 110-15ISK,Core i3 6006U,4,1TB HDD,No OS,2.2,526.9000000000001
HP,15-bs015dx,Core i5 7200U,8,1TB HDD,Windows,2.04,614.9000000000001
Acer,Aspire 5,Core i3 7130U,4,1TB HDD,Windows,3.0,720.5000000000001
Lenovo,IdeaPad Y910-17ISK,Core i7 6820HK,32,256GB SSD + 1TB HDD,Windows,4.6,2929.3
Lenovo,V110-15ISK,Celeron Dual Core 3855U,4,500GB HDD,Windows,2.1,349.8
Lenovo,V310-15ISK,Core i3 6006U,4,500GB HDD,No OS,1.9,495.00000000000006
Acer,Aspire A517-51G,Core i7 8550U,8,256GB SSD,Windows,3.0,1046.1000000000001
Samsung,Notebook 9,Core i7 7500U,16,256GB SSD,Windows,1.23,2033.9
Dell,Latitude 5480,Core i5 7300U,8,256GB SSD,Windows,1.64,1407.7030000000002
Asus,X540UA-DM186,Core i3 6006U,4,1TB HDD,Linux,2.0,427.90000000000003
Lenovo,Thinkpad T470,Core i7 7500U,8,256GB SSD,Windows,1.58,1628.0000000000002
Lenovo,IdeaPad 510-15IKB,Core i7 7500U,8,1TB HDD,No OS,2.2,779.9000000000001
Dell,Vostro 5568,Core i5 7200U,8,1TB HDD,Windows,2.18,919.6
HP,Pavilion X360,Core i3 7100U,4,128GB SSD,Windows,1.63,768.9000000000001
Dell,Inspiron 3567,Core i5 7200U,8,1TB HDD,Windows,2.24,621.5
Dell,Latitude 5480,Core i5 7440HQ,8,256GB SSD,Windows,1.64,1296.9
HP,17-ak001nv,A6-Series 9220,4,500GB HDD,Windows,2.71,482.90000000000003
Lenovo,Thinkpad P51s,Core i7 7600U,16,1TB SSD,Windows,2.5,3628.9
Acer,Aspire A515-51G-37JS,Core i3 7130U,4,256GB SSD,Windows,2.2,629.2
Asus,ZenBook UX310UA-FB485T,Core i5 7200U,8,256GB SSD,Windows,1.4,1265.0
Lenovo,Yoga Book,Atom x5-Z8550,4,64GB Flash Storage,Windows,0.69,526.9000000000001
Dell,Inspiron 3552,Pentium Quad Core N3700,4,500GB HDD,Windows,2.2,488.38900000000007
Dell,Latitude 5580,Core i5 7300U,4,500GB HDD,Linux,1.93,955.9000000000001
Toshiba,Tecra Z50-C-140,Core i7 6600U,16,256GB SSD,Windows,2.4,2172.5
Dell,Inspiron 3567,Core i3 6006U,4,256GB SSD,Windows,2.2,548.79
Lenovo,ThinkPad L570,Core i5 7200U,4,500GB HDD,Windows,2.38,1160.5
Dell,Vostro 3568,Core i5 7200U,8,128GB SSD,Windows,2.18,785.3890000000001
Lenovo,B51-80,Core i7 6500U,4,1.0TB Hybrid,Windows,2.32,907.5000000000001
MSI,GS73VR Stealth,Core i7 6700HQ,16,256GB SSD + 1TB HDD,Windows,2.43,2143.889
MSI,Laptop MSI,Core i7 6820HK,16,128GB SSD + 1TB HDD,Windows,4.14,2418.9
Lenovo,Yoga 11e,Celeron Quad Core N3450,4,128GB SSD,Windows,1.59,608.3000000000001
HP,Elitebook 1040,Core i7 7500U,8,256GB SSD,Windows,1.36,1925.0000000000002
Lenovo,IdeaPad 100S-14IBR,Celeron Dual Core N3050,2,64GB Flash Storage,Windows,1.5,251.90000000000003
HP,250 G6,Core i5 7200U,8,256GB SSD,No OS,1.86,632.5
Lenovo,ThinkPad L470,Core i5 6200U,8,256GB SSD,Windows,2.02,1474.0000000000002
Dell,Vostro 3568,Core i5 7200U,4,128GB SSD,Linux,2.18,625.9000000000001
Acer,Aspire 5,Core i5 8250U,12,1TB HDD,Windows,2.2,763.3890000000001
Dell,Latitude 5590,Core i5 8250U,8,256GB SSD,Windows,1.88,1205.7760000000003
Lenovo,ThinkPad X1,Core i7 7500U,16,512GB SSD,Windows,1.42,2759.9
Dell,XPS 15,Core i7 7700HQ,16,512GB SSD,Windows,2.06,2636.7000000000003
Lenovo,V330-15IKB,Core i3 7130U,4,128GB SSD,Windows,2.05,693.0
Lenovo,IdeaPad 320-15IKBN,Core i5 7200U,8,256GB SSD,No OS,2.2,691.9000000000001
Dell,Inspiron 7567,Core i7 7700HQ,8,1.0TB Hybrid,Windows,2.62,988.9000000000001
Toshiba,Portege Z30T-C-133,Core i7 6500U,16,512GB SSD,Windows,1.36,2064.7000000000003
Razer,Blade Pro,Core i7 7700HQ,16,1TB SSD,Windows,1.95,3848.9
HP,255 G6,A6-Series 9220,4,256GB SSD,Windows,1.86,438.33900000000006
Dell,Latitude 5580,Core i5 7200U,8,128GB SSD,Windows,1.9,1039.5
HP,ProBook 450,Core i3 7100U,4,500GB HDD,Windows,2.1,735.3280000000001
HP,15-BS078nr,Core i7 7500U,8,1TB HDD,Windows,2.05,657.8000000000001
HP,250 G6,Core i5 7200U,4,500GB HDD,Windows,1.86,673.8710000000001
Toshiba,Satellite Pro,Core i3 7100U,4,500GB HDD,Windows,2.0,537.9000000000001
Acer,Aspire E5-575,Core i5 7200U,6,1TB HDD,Windows,2.23,603.9000000000001
Dell,Inspiron 5579,Core i5 8250U,8,256GB SSD,Windows,2.67,878.9000000000001
Lenovo,V310-15IKB,Core i5 7200U,4,1TB HDD,No OS,1.9,538.89
Lenovo,IdeaPad 320-17IKB,Core i5 7200U,8,1TB HDD,No OS,2.8,592.9000000000001
Lenovo,ThinkPad 13,Core i5 7200U,4,128GB SSD,Windows,1.44,969.1
Dell,Inspiron 5570,Core i7 8550U,8,128GB SSD + 1TB HDD,Windows,2.02,940.5000000000001
Lenovo,IdeaPad 510-15IKB,Core i7 7500U,6,256GB SSD,Windows,2.2,867.9000000000001
Dell,Latitude 5580,Core i5 7200U,8,256GB SSD,Windows,1.9,1228.689
MSI,GT72S Dominator,Core i7 6820HK,16,256GB SSD + 1TB HDD,Windows,3.78,1700.2040000000002
Toshiba,Satellite Pro,Core i5 7200U,8,256GB SSD,Windows,2.0,1037.3000000000002
Acer,Aspire 7,Core i5 7300HQ,8,1TB HDD,Linux,2.4,877.8000000000001
Asus,Rog Strix,Core i7 7700HQ,16,256GB SSD + 1TB HDD,Windows,2.73,2254.8900000000003
Lenovo,Thinkpad P50,Core i7 6820HQ,16,512GB SSD,Windows,2.5,2607.0
HP,17-bs001nv,Core i5 7200U,6,2TB HDD,Windows,2.71,768.9000000000001
HP,EliteBook 850,Core i7 7500U,8,512GB SSD,Windows,1.84,1527.9
Toshiba,Portégé Z30-C-16K,Core i5 6200U,8,256GB SSD,Windows,1.2,1749.0000000000002
Asus,Pro P2540UA-AB51,Core i5 7200U,8,1TB HDD,Windows,2.37,823.9000000000001
Asus,X555QG-DM242T,A10-Series A10-9620P,4,128GB SSD + 1TB HDD,Windows,2.2,632.5
Lenovo,ThinkPad Yoga,Core i7 6500U,8,256GB SSD,Windows,1.8,1835.9
Lenovo,Yoga Book,Atom x5-Z8550,4,64GB Flash Storage,Android,0.69,603.9000000000001
Dell,Inspiron 3567,Core i7 7500U,8,256GB SSD,Windows,2.2,819.5000000000001
Lenovo,ThinkPad X1,Core i7 6500U,8,512GB SSD,Windows,1.17,1855.3040000000003
Acer,Aspire ES1-523,A8-Series 7410,4,500GB HDD,Windows,2.4,425.70000000000005
HP,EliteBook 820,Core i5 6200U,4,500GB HDD,Windows,1.26,1736.9
MSI,GL62M 7RDX,Core i7 7700HQ,8,128GB SSD + 1TB HDD,Windows,2.2,1263.9
Asus,Chromebook Flip,Core M M3-6Y30,4,64GB Flash Storage,Chrome OS,1.2,735.9000000000001
Dell,Inspiron 7570,Core i5 8250U,8,256GB SSD,Windows,2.0,1257.025
Dell,Precision 3520,Core i7 7700HQ,8,256GB SSD,Windows,2.06,1939.3000000000002
Dell,Inspiron 7577,Core i5 7300HQ,8,256GB SSD,Windows,2.65,1314.5
Dell,Inspiron 5378,Core i5 7200U,8,256GB SSD,Windows,1.68,977.9000000000001
Dell,XPS 13,Core i7 7500U,8,256GB SSD,Windows,1.29,1603.8000000000002
Asus,Rog G752VL-GC088D,Core i7 6700HQ,16,1TB HDD,No OS,4.0,1097.8000000000002
Dell,Inspiron 5577,Core i5 7300HQ,8,1TB HDD,Windows,2.56,900.9000000000001
Dell,Inspiron 5567,Core i5 7200U,8,1TB HDD,Linux,2.32,648.472
Acer,Swift 3,Core i3 7100U,8,128GB SSD,Windows,1.5,680.9000000000001
Apple,MacBook Pro,Core i5,8,256GB SSD,macOS,1.37,1983.96
Lenovo,Yoga 730,Core i7 8550U,8,512GB SSD,Windows,1.19,1648.9
HP,EliteBook 820,Core i5 7200U,4,500GB HDD,Windows,1.26,1692.9
Lenovo,ThinkPad T470,Core i5 6200U,8,256GB SSD,Windows,1.65,1611.5000000000002
HP,EliteBook 850,Core i5 6300U,8,256GB SSD + 500GB HDD,Windows,1.84,2313.6740000000004
Acer,Aspire 3,Celeron Dual Core N3350,4,1TB HDD,Linux,2.1,299.20000000000005
Lenovo,Yoga 900S-12ISK,Core M 6Y75,8,512GB SSD,Windows,0.99,1538.9
Lenovo,Thinkpad T570,Core i7 7600U,16,512GB SSD,Windows,2.3,2689.5
Acer,Chromebook C910-C2ST,Celeron Dual Core 3205U,2,16GB SSD,Chrome OS,2.19,218.9
HP,ProBook 640,Core i5 6200U,4,500GB HDD,Windows,1.95,1263.9
Acer,Predator G9-793,Core i7 7700HQ,16,256GB SSD + 1TB HDD,Windows,4.2,2858.9
Dell,Inspiron 5570,Core i5 8250U,8,1TB HDD,Windows,1.9,729.3000000000001
Acer,Aspire A515-51G,Core i7 8550U,8,1TB HDD,Windows,2.2,819.5000000000001
Dell,XPS 13,Core i7 7500U,16,512GB SSD,Windows,1.2,2948.0000000000005
HP,Probook 430,Core i7 8550U,16,512GB SSD,Windows,1.49,1316.7
Lenovo,IdeaPad 320-15ABR,A12-Series 9720P,8,1TB HDD,Windows,2.2,471.90000000000003
Acer,Aspire ES1-531,Celeron Dual Core N3060,4,500GB HDD,Linux,2.4,317.90000000000003
Lenovo,IdeaPad 720S-14IKB,Core i5 7200U,8,256GB SSD,Windows,1.5,1208.9
Lenovo,IdeaPad 320-15ISK,Core i3 6006U,8,2TB HDD,No OS,2.2,504.90000000000003
Asus,UX510UX-CN269T,Core i7 7500U,8,256GB SSD + 1TB HDD,Windows,2.0,1467.4
Dell,XPS 13,Core i7 7Y75,16,256GB SSD,Windows,1.22,1813.9
MSI,GP62MVR 6RF,Core i7 6700HQ,8,128GB SSD + 1TB HDD,Windows,2.2,1623.721
HP,EliteBook 820,Core i5 7300U,8,256GB SSD,Windows,1.26,1527.9
Dell,Inspiron 7570,Core i7 8550U,8,512GB SSD,Windows,2.16,1388.2
HP,Probook 440,Core i3 7100U,4,500GB HDD,Windows,1.64,752.4000000000001
HP,ProBook 430,Core i5 8250U,4,128GB SSD,Windows,1.49,798.6
HP,15-bs011nv,Core i7 7500U,4,500GB HDD,Windows,2.1,757.9000000000001
Acer,Aspire 3,Pentium Quad Core N4200,4,1TB HDD,Windows,2.1,399.86100000000005
Toshiba,Satellite Pro,Core i5 6200U,4,500GB HDD,Windows,2.1,662.2
Dell,XPS 13,Core i7 7Y75,8,512GB SSD,Windows,1.24,2214.41
Lenovo,ThinkPad X1,Core i5 6200U,8,256GB SSD,Windows,1.36,1800.7
Dell,Inspiron 7378,Core i7 7500U,12,256GB SSD,Windows,1.6,1428.9
Lenovo,IdeaPad Y700-15ISK,Core i7 6700HQ,8,1TB HDD,Windows,2.6,988.9000000000001
Asus,ROG GL553VE-FY022,Core i7 7700HQ,8,1TB HDD,No OS,2.5,1285.9
Lenovo,IdeaPad 320-15ISK,Core i3 6006U,8,128GB SSD,Windows,2.2,647.9000000000001
Lenovo,N23,Celeron Dual Core N3060,4,128GB SSD,Windows,1.4,522.5
Vero,V131,Atom X5-Z8350,4,32GB Flash Storage,Windows,1.35,215.60000000000002
Dell,Chromebook 11,Celeron Dual Core N3060,4,16GB Flash Storage,Chrome OS,1.26,324.5
Dell,Inspiron 5379,Core i7 8550U,8,1TB HDD,Windows,1.62,922.9000000000001
HP,ProBook 430,Core i5 8250U,8,512GB SSD,Windows,1.49,1054.9
Acer,SP714-51,Core i7 7Y75,8,256GB SSD,Windows,1.2,1263.9
Asus,X542UQ-GO005,Core i5 7200U,8,1TB HDD,Linux,2.3,575.2890000000001
Asus,ZenBook UX310UA-WB71,Core i7 6500U,8,256GB SSD,Windows,1.45,1408.0
Dell,XPS 13,Core i5 8250U,8,256GB SSD,Windows,1.23,2055.9
